啊 Ah
阿 ar-
埃 dust
挨 endure
哎 hey
唉 alas
哀 sorrow
皑 white
癌 cancer
蔼 amiable
矮 short
艾 moxa
碍 hinder
爱 love
隘 narrow
鞍 saddle
氨 ammonia
安 quiet
俺 I
按 press
暗 dark
岸 shore
胺 amine
案 record
肮 filthy
昂 high
盎 vigorous
凹 concave
敖 stroll
熬 boil
翱 soar
袄 coat
傲 proud
奥 abstruse
懊 regretful
澳 bay
芭 flower
捌 eight
扒 scrabble
叭 crackling
吧 bar
笆 basketry
八 eight
疤 scar
巴 wish
拔 select
跋 postcript
靶 target
把 control
耙 rake
坝 dam
霸 tyrant
罢 stop
爸 dad
白 white
柏 cypress
百 hundred
摆 place
佰 hundred
败 defeat
拜 worship
稗 tares
斑 spot
班 class
搬 move
扳 pull
般 kind
颁 issue
板 board
版 edition
扮 disguise
拌 stir
伴 partner
瓣 petal
半 half
办 do
绊 stumble
邦 state
帮 help
梆 rat-tat
榜 announcement
膀 arm
绑 bind
棒 stick
磅 pound
蚌 clam
镑 pound
傍 near
谤 slander
苞 bud
胞 afterbirth
包 package
褒 commend
剥 peel
薄 thin
雹 hail
保 protect
堡 fortress
饱 full
宝 treasure
抱 embrace
报 newspaper
暴 cruel
豹 leopard
鲍 abalone
爆 explode
杯 cup
碑 stele
悲 sad
卑 low
北 north
辈 lifetime
背 back
贝 cowry
钡 barium
倍 times
狈 animal
备 prepare
惫 exhausted
焙 bake
被 by
奔 run
苯 benzene
本 this
笨 stupid
崩 collapse
绷 taut
甭 don't
泵 pump
蹦 jump
迸 spurt
逼 force
鼻 nose
比 contrast
鄙 low
笔 pen
彼 that
碧 blue
蓖 castor
蔽 cover
毕 complete
毙 die
毖 assist
币 money
庇 shelter
痹 rheumatism
闭 close
敝 old
弊 harm
必 certainly
辟 break
壁 wall
臂 arm
避 avoid
陛 throne
鞭 scourge
边 side
编 edit
贬 degrade
扁 flat
便 convenient
变 change
卞 impetuous
辨 distinguish
辩 debate
辫 braid
遍 everywhere
标 sign
彪 tiger
膘 flesh
表 surface
鳖 turtle
憋 suppress
别 other
瘪 shrivelled
彬 substance
斌 ornamental
濒 close
滨 shore
宾 guest
摈 abandon
兵 arms
冰 ice
柄 handle
丙 third
秉 hold
饼 cake
炳 bright
病 disease
并 combine
玻 glass
菠 spinach
播 broadcast
拨 dial
钵 bowl
波 wave
博 abundant
勃 suddenly
搏 combat
铂 platinum
箔 foil
伯 uncle
帛 silks
舶 ship
脖 neck
膊 arm
渤 swelling
泊 lake
驳 argue
捕 catch
卜 divination
哺 nurse
补 repair
埠 port
不 no
布 cloth
步 step
簿 book
部 part
怖 horror
擦 rub
猜 guess
裁 reduce
材 material
才 ability
财 wealth
睬 notice
踩 trample
采 pick
彩 color
菜 vegetable
蔡 Cai
餐 meal
参 join
蚕 silkworm
残 disabled
惭 ashamed
惨 badly
灿 bright
苍 blue
舱 cabin
仓 storehouse
沧 cold
藏 hide
操 hold
糙 rough
槽 groove
曹 Cao
草 grass
厕 toilet
策 plan
侧 side
册 book
测 measure
层 tier
蹭 rub
插 insert
叉 fork
茬 stubble
茶 tea
查 examine
碴 fragment
搽 apply
察 examine
岔 fork
差 difference
诧 surprised
拆 excrete
柴 firewood
豺 jackal
搀 mix
掺 mix
蝉 cicada
馋 greedy
谗 slander
缠 twine
铲 shovel
产 produce
阐 explain
颤 quiver
昌 prosperous
猖 mad
场 field
尝 taste
常 constant
长 long
偿 meet
肠 intestines
厂 factory
敞 open
畅 free
唱 sing
倡 advocate
超 exceed
抄 copy
钞 money
朝 face
嘲 ridicule
潮 tide
巢 nest
吵 quarrel
炒 fry
车 vehicle
扯 pull
撤 remove
掣 pull
彻 penetrating
澈 clear
郴 surname
臣 I
辰 time
尘 dust
晨 morning
忱 sincere
沉 sink
陈 state
趁 while
衬 line
撑 support
称 call
城 city
橙 orange
成 become
呈 present
乘 ride
程 procedure
惩 punish
澄 settle
诚 sincere
承 bear
逞 flaunt
骋 gallop
秤 scales
吃 eat
痴 silly
持 hold
匙 spoon
池 pool
迟 delayed
弛 relax
驰 speed
耻 shame
齿 tooth
侈 wasteful
尺 ruler
赤 red
翅 wing
斥 denounce
炽 flaming
充 sufficient
冲 rush
虫 worm
崇 lofty
宠 pamper
抽 pump
酬 reward
畴 farmland
踌 for
稠 dense
愁 worry
筹 prepare
仇 spouse
绸 silk
瞅 look
丑 clown
臭 smelly
初 first
出 leave
橱 cabinet
厨 kitchen
躇 hesitate
锄 hoe
雏 nestling
滁 chu
除 divide
楚 Chu
础 plinth
储 save
矗 perpendicular
搐 twitch
触 touch
处 locate
揣 carry
川 river
穿 cross
椽 rafter
传 spread
船 ship
喘 pant
串 bunch
疮 sore
窗 window
幢 pennant
床 bed
闯 rush
创 create
吹 blow
炊 cook
捶 thump
锤 hammer
垂 droop
春 vitality
椿 toon
醇 alcohol
唇 lip
淳 genuine
纯 pure
蠢 stupid
戳 poke
绰 grab
疵 defect
茨 thatched
磁 magnetism
雌 female
辞 diction
慈 love
瓷 porcelain
词 word
此 this
刺 thorn
赐 grant
次 next
聪 clever
葱 shallot
囱 chimney
匆 hastily
从 from
丛 clump
凑 collect
粗 thick
醋 vinegar
簇 cluster
促 promote
蹿 spurt
篡 usurp
窜 flee
摧 destroy
崔 high
催 expedite
脆 crisp
瘁 overworked
粹 pure
淬 quench
存 save
寸 small
磋 grind
撮 pinch
搓 twist
措 manage
挫 defeat
错 wrong
搭 take
达 reach
答 answer
瘩 blotch
打 hit
大 big
呆 stagnate
歹 bad
傣 Dai
戴 wear
带 band
殆 almost
代 era
贷 loan
袋 bag
待 stay
逮 catch
怠 idle
耽 delay
